plateifu,cd_re,cd_im,g2_re,g2_im,j3o_re,j3o_im,sl2_re,sl2_im
8320-3701,2.20710360e0,4.68056548e-1,6.05003947e0,1.66371065e0,4.77614007e0,1.79857171e0,4.30493593e-1,9.19304533e-2
8320-3702,3.76138110e-1,2.16141037e-1,9.15744183e-1,7.34219801e-1,5.64083136e-1,7.38654480e-1,7.61981705e-2,4.59255212e-2
8320-3703,2.77581048e0,6.25782900e-1,7.59248783e0,2.22717906e0,5.96786844e0,2.41220750e0,5.42125819e-1,1.22622410e-1
8320-3704,-5.61380202e-1,-3.35551101e-1,-1.31185324e0,-1.09543367e0,-7.40736007e-1,-1.03313979e0,-1.13203240e-1,-7.55863377e-2
8320-6101,1.04204871e0,7.15304018e-1,2.40984880e0,2.39479732e0,1.29574292e0,2.35199170e0,2.13375508e-1,1.55488396e-1
8320-6103,2.06934183e0,1.47972489e-1,5.88431250e0,5.79286150e-1,4.94077604e0,7.12685992e-1,3.98076807e-1,2.36182472e-2
8320-6104,-5.66547761e-2,4.32886820e-2,-2.19771810e-1,1.17549182e-1,-2.51250975e-1,7.46081636e-2,-1.07943086e-2,1.19261872e-2
8320-9101,-2.06787490e-1,9.34326164e-2,-7.65147847e-1,1.93693035e-1,-8.25702014e-1,1.25417278e-2,-4.14389907e-2,3.13166459e-2
8320-9102,-5.26172959e-2,-6.09787455e-2,-8.12290478e-2,-1.87382413e-1,1.69552273e-2,-1.56564677e-1,-1.12334309e-2,-1.49168375e-2
8321-12703,-7.11731375e-1,-4.36195462e-1,-1.68863891e0,-1.46412927e0,-9.75890276e-1,-1.44376872e0,-1.44866494e-1,-9.44588456e-2
8321-1901,5.94040074e0,1.51968416e0,1.59469253e1,5.29002610e0,1.21242235e1,5.53386628e0,1.16716774e0,3.10038275e-1
8321-1902,3.14527093e0,1.30103855e0,8.07826368e0,4.47733963e0,5.61828830e0,4.59700354e0,6.27976133e-1,2.70749777e-1
8321-3701,1.29701865e0,4.42250635e-1,3.40102226e0,1.53338871e0,2.46662120e0,1.59292895e0,2.57367590e-1,9.08845675e-2
8321-3702,6.48718045e-1,4.95592420e-1,1.46463094e0,1.67996471e0,7.15014020e-1,1.67973272e0,1.35225583e-1,1.05828234e-1
8321-6101,1.91471590e0,1.25857079e0,4.39685984e0,4.14948533e0,2.33637584e0,3.97000744e0,3.90601582e-1,2.79962538e-1
8321-6102,7.22998585e0,1.36210211e0,1.98099677e1,4.79580975e0,1.56442435e1,5.11186886e0,1.40875841e0,2.72156626e-1
8321-6103,5.01031263e-1,5.99126181e-1,9.20395526e-1,1.99088558e0,1.01946917e-1,1.92519115e0,1.09014978e-1,1.31931624e-1
8321-6104,5.82649638e-2,1.89526707e-1,-2.54413755e-2,5.92925201e-1,-2.59467111e-1,5.16929740e-1,1.41955294e-2,4.51937011e-2
8321-9101,5.16066598e-1,5.39472524e-1,7.47772716e-1,1.38774821e0,-1.07924169e-1,7.65627966e-1,9.11005840e-2,1.54747542e-1
8321-9102,-6.57169378e-1,-3.01216405e-1,-1.66767066e0,-1.03288155e0,-1.13145068e0,-1.05530137e0,-1.31550494e-1,-6.30231026e-2
8322-12702,-4.53009887e-1,-4.58124804e-1,-8.19006330e-1,-1.37851024e0,-1.46196750e-1,-1.13312608e0,-8.89317913e-2,-1.13400866e-1
8322-12703,-3.35663548e-1,-4.39664891e-1,-4.70901251e-1,-1.21623971e0,1.05261578e-1,-8.67218031e-1,-5.67801872e-2,-1.15981577e-1
8322-1901,1.88621845e0,5.70823766e-1,5.10164623e0,2.03178998e0,3.92378124e0,2.20070527e0,3.70435439e-1,1.11838544e-1
8322-1902,2.62636018e0,5.50479458e-1,7.17810335e0,1.94597292e0,5.63790472e0,2.08506736e0,5.12799773e-1,1.09264730e-1
8322-3703,3.25722315e0,6.07167235e-1,8.97136293e0,2.16520079e0,7.14345552e0,2.35250309e0,6.34044865e-1,1.18520617e-1
8322-6103,2.64947991e-1,2.59866214e-1,5.37875672e-1,8.60116825e-1,1.69096361e-1,8.27696260e-1,5.59210151e-2,5.75019379e-2
8322-6104,-1.46923686e-1,-4.88083662e-2,-3.95657518e-1,-1.74925279e-1,-3.00877801e-1,-1.91141256e-1,-2.89974566e-2,-9.44975207e-3
8322-9101,-6.53798987e-1,-4.72108494e-1,-1.44657129e0,-1.53173426e0,-6.92270694e-1,-1.42944415e0,-1.33174286e-1,-1.07246263e-1
8322-9102,1.98130712e-1,3.18039482e-1,2.22214029e-1,8.56662266e-1,-1.51900428e-1,5.96300665e-1,2.83590097e-2,8.39836238e-2
8323-12701,-1.45324716e-1,6.06790821e-2,-5.29746848e-1,9.77441816e-2,-5.46551573e-1,-4.54464753e-2,-3.22272510e-2,2.19914032e-2
8323-12702,-6.92143440e-1,-4.82786894e-1,-1.54518825e0,-1.55751655e0,-7.68490765e-1,-1.44218304e0,-1.39924469e-1,-1.10386659e-1
8323-12703,-9.76478607e-2,-3.03273813e-1,7.65855380e-2,-8.29010441e-1,4.37417471e-1,-5.66228812e-1,-1.43847412e-2,-8.13635499e-2
8323-12704,-4.70649736e-1,-4.80821359e-1,-8.32007567e-1,-1.34694954e0,-1.76997130e-1,-9.93768175e-1,-8.17867149e-2,-1.25093899e-1
8323-12705,-5.82311709e-1,-3.24369474e-1,-1.44128854e0,-1.11609454e0,-9.19392271e-1,-1.14536346e0,-1.17901270e-1,-6.75288435e-2
8323-1901,3.18772328e-1,2.55513107e-2,8.98413471e-1,9.35242494e-2,7.45251667e-1,1.05789453e-1,6.13663914e-2,4.73192846e-3
8323-1902,-4.06885578e-2,2.09736269e-2,-1.30075986e-1,7.20297915e-2,-1.29691056e-1,7.35138119e-2,-7.33730139e-3,4.38632984e-3
8323-3701,-8.16723998e-1,-3.16780505e-1,-2.14296004e0,-1.10918744e0,-1.55415778e0,-1.17084059e0,-1.62206801e-1,-6.39716824e-2
8323-3704,-1.14125792e-1,-1.03341939e-2,-3.42383948e-1,-5.94269466e-2,-3.02445311e-1,-9.74196463e-2,-2.24632276e-2,1.43801278e-4
8323-6102,2.31135797e0,5.30256028e-1,6.30364873e0,1.91934590e0,4.90013832e0,2.09758298e0,4.56626258e-1,1.02352946e-1
8323-6103,-4.56532706e-1,-2.48228274e-1,-1.11835344e0,-8.40793657e-1,-7.00590923e-1,-8.41804649e-1,-9.22232502e-2,-5.29912019e-2
8323-9102,-4.49101703e-2,9.75634585e-2,-2.53624142e-1,1.83244499e-1,-3.03983403e-1,2.67859458e-2,-1.95199239e-2,3.00159732e-2
8324-12701,-3.41429537e-1,-2.09903250e-1,-8.24317044e-1,-7.17078785e-1,-4.94574532e-1,-7.27315974e-1,-6.95969737e-2,-4.42234392e-2
8324-12703,-1.07889147e-1,-9.31304658e-2,-2.13532061e-1,-2.24669132e-1,-1.07435547e-1,-1.33099228e-1,-1.38025731e-2,-2.55069039e-2
8324-12704,-3.00168368e-1,-2.38684735e-1,-6.45291910e-1,-7.03899451e-1,-3.10706271e-1,-5.99135014e-1,-5.22960792e-2,-5.59535048e-2
8324-1902,1.59677407e-1,1.21106729e-1,3.59906180e-1,4.08691483e-1,1.75481177e-1,4.05573799e-1,3.32271976e-2,2.60470622e-2
8324-3701,3.15670617e-1,5.39582182e-2,8.95177904e-1,2.03818110e-1,7.47437327e-1,2.40423269e-1,6.08570841e-2,9.34731362e-3
8324-3704,-2.56851993e-1,-8.66833774e-2,-6.84196240e-1,-3.04864323e-1,-5.11707429e-1,-3.24251967e-1,-5.06877091e-2,-1.73599324e-2
8324-6103,5.44875962e-1,4.74753682e-1,1.12720824e0,1.53110857e0,4.14659405e-1,1.41501856e0,1.12028157e-1,1.08678879e-1
8324-6104,1.67684729e-1,-1.30385811e-1,6.75294701e-1,-3.40689311e-1,7.93935352e-1,-1.86589959e-1,3.14954351e-2,-3.74213275e-2
8324-9101,2.43610503e-1,1.88443130e-1,5.38754207e-1,6.16415641e-1,2.57699764e-1,5.85051323e-1,4.95385367e-2,4.22506015e-2
8324-9102,-3.03010215e-1,-2.18205794e-1,-6.61655873e-1,-6.95271404e-1,-3.08321572e-1,-6.30143084e-1,-6.11628195e-2,-5.07009472e-2
8325-12701,-3.49405415e-1,-4.34661547e-1,-5.26767338e-1,-1.15610931e0,8.61120456e-3,-7.85073681e-1,-5.22628313e-2,-1.15861646e-1
8325-12702,-3.06874495e-1,-5.54593825e-1,-3.95430128e-1,-1.29944480e0,1.21852972e-1,-7.80406678e-1,-5.01848115e-3,-1.24091443e-1
8325-12703,5.86403234e-1,5.38192757e-1,1.12663190e0,1.64850734e0,3.05378070e-1,1.39401047e0,1.17189221e-1,1.30999324e-1
8325-12704,-5.21195813e-2,-1.56615815e-1,-1.25761430e-2,-5.17361245e-1,1.69885710e-1,-4.94918511e-1,-1.34275854e-2,-3.48033217e-2
8325-12705,-1.43871663e-2,5.66050056e-2,-1.05039480e-1,1.27538892e-1,-1.40463462e-1,6.06766467e-2,-7.39005696e-3,1.59846128e-2
8325-1901,-2.33898154e-1,1.40689528e-2,-7.39157086e-1,-2.01572130e-3,-7.06410003e-1,-8.34323242e-2,-4.44246447e-2,7.96439160e-3
8325-1902,-1.96007730e-1,-9.48834371e-2,-4.73985856e-1,-3.03542115e-1,-2.96206169e-1,-2.77035008e-1,-3.88128085e-2,-2.19441184e-2
8325-3701,-3.13638866e-1,-2.17664732e-1,-6.93898906e-1,-6.84891635e-1,-3.45373449e-1,-6.10797559e-1,-6.22075767e-2,-5.12071327e-2
8325-9101,2.52443551e-1,2.71799760e-1,4.50309939e-1,8.38195259e-1,5.90297440e-2,7.19200030e-1,5.08715680e-2,6.55591074e-2
8325-9102,-9.09651508e-2,-1.36241790e-1,-8.98378080e-2,-3.28911189e-1,7.65705285e-2,-1.65630351e-1,-1.12894588e-2,-3.94398897e-2
8326-12701,5.59270701e-1,5.14225634e-1,1.07290952e0,1.57417238e0,2.88409269e-1,1.32951941e0,1.11750022e-1,1.25259935e-1
8326-12703,-5.48056168e-1,-5.54967483e-1,-9.76140036e-1,-1.61412270e0,-1.80981454e-1,-1.25782746e0,-1.02389558e-1,-1.41186637e-1
8326-12705,-4.54740922e-1,-4.91968138e-1,-7.94433821e-1,-1.31960058e0,-1.87494535e-1,-9.37042762e-1,-6.81910829e-2,-1.27979813e-1
8326-1901,1.46121049e1,2.34501567e0,4.04060454e1,8.37459620e0,3.24072631e1,9.11981818e0,2.83902005e0,4.56473825e-1
8326-3702,-3.64810274e-1,-1.41679425e-1,-9.71187363e-1,-5.03182094e-1,-7.23756191e-1,-5.43085562e-1,-7.21724623e-2,-2.78765616e-2
8326-3703,2.05064408e0,1.84312000e-1,5.75914412e0,6.79435015e-1,4.74248096e0,7.74379261e-1,3.96002067e-1,3.36998857e-2
8326-3704,8.24594321e0,1.11971609e0,2.27800672e1,3.95637649e0,1.82527172e1,4.23988074e0,1.60151679e0,2.22298901e-1
8326-6101,3.15739329e-1,1.57267901e-1,8.05819529e-1,5.50328037e-1,5.49253567e-1,5.79843739e-1,6.35153865e-2,3.18118561e-2
8326-6103,-2.78553085e-1,-9.13514499e-2,-7.59017050e-1,-3.64884291e-1,-5.63897725e-1,-4.38296275e-1,-5.82357287e-2,-1.48270030e-2
8326-6104,3.12946637e-1,1.40412561e-1,8.18442048e-1,4.95633921e-1,5.88255975e-1,5.29755967e-1,6.23546783e-2,2.79472456e-2
8326-9101,-2.48112762e-1,-1.39111266e-1,-6.02515205e-1,-4.73387575e-1,-3.66961609e-1,-4.76690819e-1,-5.04972078e-2,-2.95099645e-2
8327-12704,5.66762091e-2,-8.17023595e-2,2.78743094e-1,-5.40124116e-2,2.70154501e-1,1.64129841e-1,3.13540812e-2,-2.98710281e-2
8327-1901,-1.95467561e-1,-1.48610951e-1,-4.24904611e-1,-4.81332515e-1,-1.91009155e-1,-4.47478103e-1,-3.99691790e-2,-3.38565268e-2
8327-3701,-8.10827371e-2,-3.31530611e-2,-2.10845726e-1,-1.16984330e-1,-1.49174307e-1,-1.24622492e-1,-1.62513186e-2,-6.61537365e-3
8327-3703,-1.80378711e-1,-1.85273672e-1,-3.22069192e-1,-4.66679658e-1,-1.05390371e-1,-2.94431897e-1,-2.40824342e-2,-4.99449052e-2
8327-6101,-1.25834837e-1,-1.36447213e-1,-2.57463206e-1,-4.66235991e-1,-7.84300429e-2,-4.72377305e-1,-2.71311957e-2,-2.87608886e-2
8327-6102,5.09325329e-1,4.30717064e-2,1.46120095e0,1.76663502e-1,1.24127645e0,2.29144485e-1,9.79096316e-2,6.05155193e-3
8327-6103,2.55527750e-1,1.09900549e-1,6.56512162e-1,3.78991292e-1,4.57051721e-1,3.90594901e-1,5.09966940e-2,2.27846857e-2
8327-6104,-4.52968103e-1,-2.47734414e-1,-1.10186176e0,-8.35185920e-1,-6.78986438e-1,-8.28743331e-1,-9.16905619e-2,-5.33318873e-2
8327-9102,-1.10059010e-1,-3.60555138e-2,-2.96700684e-1,-8.71771140e-2,-2.51908950e-1,-6.71480068e-2,-1.62959113e-2,-8.78375477e-3
8328-12701,1.77011164e-1,1.53109415e-1,3.65844098e-1,4.96436759e-1,1.31812593e-1,4.59594894e-1,3.68931081e-2,3.50123744e-2
8328-12702,-4.78665272e-2,-4.98052984e-2,-6.97182457e-2,-7.19442373e-2,-2.46018129e-2,2.88852556e-2,-1.26220210e-3,-1.66697062e-2
8328-3701,3.25963263e-2,7.62175987e-2,1.87289792e-2,2.42700869e-1,-7.83180961e-2,2.18196691e-1,7.65058692e-3,1.77902159e-2
8328-3702,-2.17353278e-1,-1.69465124e-1,-5.01565755e-1,-5.79118536e-1,-2.63567067e-1,-5.87521392e-1,-4.49830713e-2,-3.56916159e-2
8328-3703,-1.71868415e-1,-1.27106532e-1,-4.37152016e-1,-4.52397567e-1,-2.94497245e-1,-4.89938920e-1,-3.47201586e-2,-2.49068086e-2
8328-3704,-6.84314402e-1,-3.44831928e-1,-1.72901835e0,-1.19520762e0,-1.15565542e0,-1.24080583e0,-1.37798755e-1,-7.09108163e-2
8328-6101,1.86109596e0,6.37240935e-2,5.24953205e0,2.37973601e-1,4.36023911e0,2.76918210e-1,3.58180704e-1,1.13070068e-2
8328-6103,3.14210951e0,3.68098244e-1,8.73804322e0,1.31780395e0,7.08016224e0,1.44058046e0,6.08836888e-1,7.13118639e-2
8328-9101,-2.58792901e-1,-3.13230027e-1,-3.70423687e-1,-8.63784063e-1,7.51183799e-2,-5.95209914e-1,-4.62591361e-2,-8.39692529e-2
8328-9102,-7.07248748e-2,-3.86370652e-2,-1.67209711e-1,-1.17996408e-1,-1.02840787e-1,-1.02920095e-1,-1.33432809e-2,-9.21647215e-3
8329-12701,-5.03707292e-1,-4.18248762e-1,-1.05550055e0,-1.34825531e0,-4.10125142e-1,-1.24276352e0,-1.03595715e-1,-9.59097561e-2
8329-12702,-4.61617273e-1,-3.44073577e-1,-1.02046687e0,-1.12232923e0,-4.85559446e-1,-1.05832693e0,-9.41144573e-2,-7.75200154e-2
8329-12703,-3.17715289e-1,-2.61102216e-1,-6.48105150e-1,-8.05294314e-1,-2.41330722e-1,-6.91456664e-1,-6.31629381e-2,-6.29645998e-2
8329-12704,-4.47947066e-1,-2.72698865e-1,-1.04863895e0,-9.00205207e-1,-5.89773706e-1,-8.63963638e-1,-9.08689637e-2,-6.05130279e-2
8329-3701,-6.02474651e-1,-1.46886313e-1,-1.64355464e0,-5.23128899e-1,-1.28519246e0,-5.67148317e-1,-1.17834938e-1,-2.87464812e-2
8329-3702,-3.81247466e-1,-8.65413515e-2,-1.09333135e0,-3.72567144e-1,-8.96889730e-1,-4.91717108e-1,-7.68849078e-2,-1.10392309e-2
8329-3703,-6.52731503e-1,-1.71130568e-1,-1.78033676e0,-6.10777487e-1,-1.39142804e0,-6.64405345e-1,-1.27697022e-1,-3.33536490e-2
8329-3704,4.98662525e0,1.19504047e0,1.36563316e1,4.27360130e0,1.07527353e1,4.66225457e0,9.73913512e-1,2.32061887e-1
8329-6101,1.20738742e0,3.74838304e-1,3.23883350e0,1.34293044e0,2.43913509e0,1.45987318e0,2.39463638e-1,7.29072586e-2
8329-6102,-6.92628211e-1,-3.97117463e-1,-1.68272699e0,-1.35160375e0,-1.02770549e0,-1.36233832e0,-1.40773234e-1,-8.41843760e-2
8329-6103,-2.58810117e-1,-2.37112933e-1,-5.12961008e-1,-7.61726466e-1,-1.46712020e-1,-6.95604664e-1,-5.40523092e-2,-5.47207248e-2
8329-6104,9.32632967e-1,5.06440246e-1,2.24330117e0,1.68080118e0,1.35383318e0,1.62775153e0,1.88158925e-1,1.11505053e-1
8329-9101,-5.20132732e-1,-1.69803274e-1,-1.39092255e0,-5.99775443e-1,-1.04703742e0,-6.41816060e-1,-1.02599756e-1,-3.37531867e-2
8330-12701,-5.87067168e-2,9.89520450e-2,-2.76523603e-1,1.65279679e-1,-3.10613045e-1,9.34943992e-3,-2.74580982e-2,2.68269995e-2
8330-12702,-6.76918955e-1,-3.79630294e-1,-1.64265075e0,-1.28031889e0,-1.00661375e0,-1.27300352e0,-1.36955711e-1,-8.15857283e-2
8330-12703,-1.46461116e-1,-9.40249339e-2,-3.20522740e-1,-2.87995334e-1,-1.55364801e-1,-2.42982712e-1,-2.90038514e-2,-2.29159818e-2
8330-1901,6.14973258e-1,4.72890192e-1,1.38313539e0,1.59289708e0,6.72348425e-1,1.57736317e0,1.27720773e-1,1.01947020e-1
8330-3704,-7.57009316e-1,-2.91882300e-1,-1.97703669e0,-1.01695327e0,-1.42100895e0,-1.06487366e0,-1.50536021e-1,-5.94710170e-2
8330-6103,1.72484963e0,8.78122073e-1,4.33330043e0,3.02987653e0,2.86260795e0,3.12314029e0,3.47612879e-1,1.81962324e-1
8330-6104,1.26895702e0,2.60007885e-1,3.45426324e0,9.05192488e-1,2.69926110e0,9.49345021e-1,2.47510581e-1,5.29402170e-2
8330-9101,-1.93260465e-1,-2.81665354e-2,-5.45140763e-1,-1.08458342e-1,-4.49201757e-1,-1.29494514e-1,-3.75938274e-2,-4.73646736e-3
8330-9102,-6.22666491e-1,-2.13562379e-1,-1.65665543e0,-7.52358983e-1,-1.23491776e0,-8.01818368e-1,-1.23053317e-1,-4.26556300e-2
8331-12702,-4.03968483e-1,-2.22574641e-1,-9.71621607e-1,-7.41461917e-1,-5.84940055e-1,-7.22200576e-1,-8.16495444e-2,-4.87480555e-2
8331-12703,-3.71023891e-1,-3.17032756e-1,-7.34629129e-1,-9.44511089e-1,-2.56625422e-1,-7.68139641e-1,-7.10898749e-2,-7.89394235e-2
8331-1901,-2.08147810e-1,-7.04027046e-2,-5.48985733e-1,-2.43801184e-1,-4.03787085e-1,-2.53216465e-1,-4.11155788e-2,-1.44823297e-2
8331-1902,-2.74179355e-1,-6.07469796e-2,-7.54977112e-1,-2.19074589e-1,-5.99751920e-1,-2.41815474e-1,-5.34858922e-2,-1.16137815e-2
8331-3703,-1.95254744e-1,-1.42411869e-1,-4.21644208e-1,-4.52640347e-1,-1.88339929e-1,-4.07475741e-1,-3.95800294e-2,-3.32418183e-2
8331-3704,-4.12095577e-1,-1.84448579e-1,-1.05220470e0,-6.37600488e-1,-7.21001932e-1,-6.59107275e-1,-8.25914921e-2,-3.81037880e-2
8331-6104,-5.01191547e-1,-1.68282769e-1,-1.36498979e0,-6.36063752e-1,-1.03949754e0,-7.37058173e-1,-1.00847730e-1,-2.96676232e-2
8331-9101,3.73926856e-1,-1.10864045e-1,1.14231939e0,-3.75527147e-1,1.07103011e0,-3.74482765e-1,6.92959007e-2,-2.37198368e-2
8331-9102,2.23612025e-1,-1.69481929e-2,6.30892821e-1,-6.17889031e-2,5.24811384e-1,-6.93944882e-2,4.29799276e-2,-3.16743109e-3
8332-12702,-5.97229672e-1,-2.92284746e-1,-1.48571312e0,-9.90740924e-1,-9.65615548e-1,-9.92889373e-1,-1.20103700e-1,-6.23335427e-2
8332-12704,-3.45480477e-1,-3.39274612e-1,-6.12089382e-1,-9.54157216e-1,-1.24583532e-1,-6.95438778e-1,-6.23372385e-2,-8.89636634e-2
8332-1901,2.24852985e-1,5.47806664e-2,6.30790175e-1,2.26681948e-1,4.98882282e-1,2.85763906e-1,4.57549035e-2,7.97004267e-3
8332-1902,7.69973164e0,4.44399626e-1,2.15808372e1,1.60306716e0,1.77319358e1,1.77336627e0,1.48615914e0,8.48066768e-2
8332-3701,-6.48071129e-1,-4.32819761e-1,-1.48496422e0,-1.42696126e0,-7.85063106e-1,-1.36677437e0,-1.32086465e-1,-9.62120119e-2
8332-3702,6.16750077e-1,3.83869091e-1,1.46526768e0,1.29248028e0,8.48962327e-1,1.28107973e0,1.25588872e-1,8.27313920e-2
8332-6101,-3.69633420e-1,-1.96799928e-1,-9.15883668e-1,-6.72660516e-1,-5.87832316e-1,-6.83250153e-1,-7.46110674e-2,-4.14129837e-2
8332-6103,4.22512438e-1,9.16945521e-2,1.26766769e0,5.02773738e-1,1.05466421e0,7.66375232e-1,9.19002618e-2,2.87222390e-3
8332-6104,-4.64707503e-1,-2.72670578e-1,-1.10328283e0,-9.06274196e-1,-6.42811358e-1,-8.79810297e-1,-9.41411269e-2,-5.99044631e-2
8332-9102,4.67105275e-2,1.04405320e-1,9.87290556e-3,3.03360699e-1,-1.34412249e-1,2.27678073e-1,9.72747683e-3,2.70353491e-2
8333-12701,-6.19833643e-1,-3.19979114e-1,-1.53408219e0,-1.09069027e0,-9.81657782e-1,-1.10223733e0,-1.25198019e-1,-6.76610747e-2
8333-12702,-4.06688409e-1,-3.19531404e-1,-8.44236216e-1,-9.92020611e-1,-3.34054126e-1,-8.58891536e-1,-8.14441232e-2,-7.66360986e-2
8333-12703,-3.69032188e-1,-2.79816096e-1,-7.94466058e-1,-8.84665768e-1,-3.57656952e-1,-7.95385261e-1,-7.37723853e-2,-6.54272533e-2
8333-12704,-3.09954461e-1,-1.24181660e-1,-8.25019646e-1,-4.41358357e-1,-6.14593546e-1,-4.76913776e-1,-6.13274604e-2,-2.43997892e-2
8333-1902,-6.02787771e-1,-2.25950014e-1,-1.58960094e0,-7.94282526e-1,-1.16367982e0,-8.43436671e-1,-1.19584494e-1,-4.53141339e-2
8333-3702,-1.39418687e-1,5.16738493e-2,-3.52271876e-1,-4.08617370e-2,-2.93085927e-1,-2.48713587e-1,-4.96035878e-2,-2.18759642e-2
8333-3703,4.58736140e-1,-3.86707629e-2,1.34109321e0,-1.22288094e-1,1.17819054e0,-1.06778948e-1,8.69905597e-2,-9.17535200e-3
8333-3704,1.09194086e0,1.82850698e-2,3.07873634e0,6.82094534e-2,2.55622179e0,7.93448848e-2,2.10118975e-1,3.24933723e-3
8333-6101,5.42628091e-1,-1.44520358e-1,1.60532221e0,-5.05963129e-1,1.44031321e0,-5.33506206e-1,1.01916586e-1,-2.92074999e-2
8333-6102,-4.24785064e-1,-2.42013436e-1,-1.02687531e0,-8.17761851e-1,-6.21567326e-1,-8.14904759e-1,-8.62182595e-2,-5.18849098e-2
8333-6104,1.26880369e0,1.64626944e-2,3.59191744e0,6.54173898e-2,3.00320887e0,8.30351213e-2,2.43641870e-1,2.48901726e-3
8333-9101,7.81289645e-1,-4.99336950e-2,2.25604788e0,-1.63759877e-1,1.94713991e0,-1.53588776e-1,1.48742062e-1,-1.12522095e-2
8333-9102,-2.01878744e-2,-1.34657110e-1,4.55725591e-2,-4.54550331e-1,1.78421695e-1,-4.51193741e-1,-6.77662420e-3,-2.89514292e-2
8334-12702,-4.45595947e-1,-2.23560528e-1,-1.10948465e0,-7.63070953e-1,-7.20227339e-1,-7.73036177e-1,-8.98225085e-2,-4.71616270e-2
8334-12703,-1.46439859e-1,-2.88592470e-2,-4.11122903e-1,-1.13391349e-1,-3.32822356e-1,-1.37226917e-1,-2.89320263e-2,-4.69090012e-3
8334-12705,-3.87486161e-1,-2.23459290e-1,-9.71510495e-1,-8.83943152e-1,-5.58420531e-1,-1.02399297e0,-9.00258067e-2,-3.85749764e-2
8334-1901,4.17119112e0,2.65503810e-1,1.16933256e1,9.59195348e-1,9.61086846e0,1.06355780e0,8.05046871e-1,5.05136847e-2
8334-1902,-4.32856545e-1,-1.27867732e-1,-1.15760699e0,-4.47970612e-1,-8.72781923e-1,-4.73312699e-1,-8.52654950e-2,-2.57957839e-2
8334-3701,1.66555867e0,5.67895541e-1,4.39747600e0,1.97867447e0,3.23462307e0,2.07299028e0,3.29544015e-1,1.15668295e-1
8334-3703,-1.58662633e-1,-3.34806028e-2,-4.31647924e-1,-1.16896647e-1,-3.36765360e-1,-1.23027223e-1,-3.09780910e-2,-6.78894673e-3
8334-3704,6.20708960e-1,5.18787905e-1,1.30817134e0,1.68110548e0,5.18790835e-1,1.56466027e0,1.27736289e-1,1.18082372e-1
8334-6101,1.09028150e0,2.79564693e-1,2.96934849e0,9.96869094e-1,2.31378819e0,1.08256644e0,2.13485010e-1,5.45933407e-2
8334-6102,2.57551133e-1,2.77088722e-1,4.76565262e-1,8.90099427e-1,7.58273080e-2,8.14178388e-1,5.42366952e-2,6.38908442e-2
8334-6103,-7.58073637e-1,-2.29006573e-1,-2.03925430e0,-8.10339843e-1,-1.55295268e0,-8.69626328e-1,-1.49155299e-1,-4.53691651e-2
8334-6104,9.08669976e-2,1.10249308e-1,1.50411019e-1,3.46544077e-1,-7.10245949e-3,3.04662505e-1,1.91335906e-2,2.61737563e-2
8334-9101,-2.42300791e-1,-1.60499281e-1,-6.21488792e-1,-5.71181173e-1,-4.26918361e-1,-6.18448011e-1,-4.87740244e-2,-3.14578248e-2
8334-9102,-5.72892088e-1,-2.10938373e-1,-1.51478666e0,-7.44063399e-1,-1.11363110e0,-7.93857533e-1,-1.13664333e-1,-4.20588792e-2
8335-12701,1.67934465e-1,3.39576633e-1,1.13794198e-1,8.45118279e-1,-2.35201160e-1,5.20031665e-1,1.24047609e-2,9.10345419e-2
8335-12703,-1.41280039e-1,-1.12146788e-2,-4.19870111e-1,-7.00222440e-2,-3.62625545e-1,-1.16213192e-1,-2.84228196e-2,5.08233555e-4
8335-12704,7.80589007e-1,3.35193749e-1,1.94176239e0,1.05127862e0,1.31487378e0,9.52615823e-1,1.49607354e-1,7.80053881e-2
8335-1902,5.78312158e0,1.05003089e0,1.59489612e1,3.75025785e0,1.27279830e1,4.08434665e0,1.12517071e0,2.04366111e-1
8335-3701,9.04792939e-2,1.17712970e-1,1.60329330e-1,3.89331079e-1,7.64021150e-3,3.74452347e-1,1.96101710e-2,2.60636003e-2
8335-3702,1.81316113e-3,-5.16880595e-2,5.51878423e-2,-1.69796466e-1,1.14046570e-1,-1.60221438e-1,-1.02484210e-3,-1.16029814e-2
8335-3704,-3.30556116e-1,-1.34964558e-1,-8.49970687e-1,-4.63357858e-1,-5.93362546e-1,-4.74156173e-1,-6.58936514e-2,-2.81897324e-2
8335-6102,-7.82994335e-2,6.97843492e-2,-2.87943349e-1,2.26902635e-1,-3.28755494e-1,2.10831013e-1,-1.34200969e-2,1.58731819e-2
8335-6103,6.58821459e-1,5.10880425e-2,1.84610906e0,1.84213404e-1,1.51630950e0,2.03686766e-1,1.27169356e-1,9.75628034e-3
8335-9101,-3.78942507e-2,-1.41807059e-1,-2.89914687e-2,-4.94125139e-1,8.56861259e-2,-5.17224826e-1,-9.76424076e-3,-2.88969582e-2
8335-9102,-1.42189400e-1,-1.62530173e-2,-4.02036002e-1,-5.76213942e-2,-3.37322148e-1,-6.43497960e-2,-2.70405817e-2,-3.10541573e-3
8336-12701,-7.05545327e-2,-9.24631395e-2,-9.48822195e-2,-2.77357086e-1,4.74923560e-2,-2.20351084e-1,-1.48992706e-2,-2.33004475e-2
8336-1901,6.37039517e0,1.47689611e0,1.73879664e1,5.24285100e0,1.36176086e1,5.65617641e0,1.24501096e0,2.90791513e-1
