mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
6,5.385587,14,70,11.1200,11.1100,11.1200,8.28294835e-2,3.23475116e-1,1.11496874e-1,1.320121,1.39991126e-1,3.794241,2.385233
7,6.283185,14,70,11.1200,11.1100,11.1200,-1.31861019e-1,2.41837802e-1,7.58728506e-2,2.069982,1.39991126e-1,3.794241,1.967627
1,0.897598,15,70,11.1300,11.1200,11.1300,-2.24336291e-1,-2.06925679e-1,9.31450083e-2,-2.396544,2.98196752e-1,1.023474,1.023474
2,1.795196,15,70,11.1300,11.1200,11.1300,-2.42549303e-2,-3.00975800e-1,9.11747338e-2,-1.651210,2.98196752e-1,1.023474,1.012592
3,2.692794,15,70,11.1300,11.1200,11.1300,1.83148519e-1,-2.33326827e-1,8.79847881e-2,-0.905303,2.98196752e-1,1.023474,0.994720
4,3.590392,15,70,11.1300,11.1200,11.1300,2.85697062e-1,-4.56746520e-2,8.37089853e-2,-0.158529,2.98196752e-1,1.023474,0.970249
5,4.487990,15,70,11.1300,11.1200,11.1300,2.32934605e-1,1.55765567e-1,7.85214420e-2,0.589415,2.98196752e-1,1.023474,0.939704
6,5.385587,15,70,11.1300,11.1200,11.1300,6.19491379e-2,2.62273079e-1,7.26248638e-2,1.338847,2.98196752e-1,1.023474,0.903732
7,6.283185,15,70,11.1300,11.1200,11.1300,-1.27723272e-1,2.23437269e-1,6.62374474e-2,2.090094,2.98196752e-1,1.023474,0.863076
1,0.897598,16,70,11.1400,11.1300,11.1400,1.69936964e-1,1.64524541e-1,5.59468965e-2,0.769217,1.12041269e-1,2.111106,2.111106
2,1.795196,16,70,11.1400,11.1300,11.1400,6.88040010e-3,2.23728221e-1,5.01016568e-2,1.540053,1.12041269e-1,2.111106,1.997782
3,2.692794,16,70,11.1400,11.1300,11.1400,-1.37745133e-1,1.49725799e-1,4.13915364e-2,2.314542,1.12041269e-1,2.111106,1.815841
4,3.590392,16,70,11.1400,11.1300,11.1400,-1.76314363e-1,8.07548424e-3,3.11519679e-2,3.095823,1.12041269e-1,2.111106,1.575305
5,4.487990,16,70,11.1400,11.1300,11.1400,-1.05905136e-1,-9.82828591e-2,2.08754183e-2,-2.393507,1.12041269e-1,2.111106,1.289554
6,5.385587,16,70,11.1400,11.1300,11.1400,-3.72528869e-4,-1.09244062e-1,1.19344039e-2,-1.574206,1.12041269e-1,2.111106,0.975040
7,6.283185,16,70,11.1400,11.1300,11.1400,5.62313895e-2,-4.66892313e-2,5.34185348e-3,-0.692949,1.12041269e-1,2.111106,0.652331
1,0.897598,17,70,11.1500,11.1400,11.1600,-6.34982503e-3,-4.75318281e-2,2.29959496e-3,-1.703601,2.44954323e-1,0.683864,0.195767
2,1.795196,17,70,11.1500,11.1400,11.1600,5.67016644e-2,-4.40792418e-2,5.15805830e-3,-0.660801,2.44954323e-1,0.683864,0.293196
3,2.692794,17,70,11.1500,11.1400,11.1600,9.52801490e-2,1.97295713e-2,9.46756278e-3,0.204183,2.44954323e-1,0.683864,0.397223
4,3.590392,17,70,11.1500,11.1400,11.1600,6.52551776e-2,1.01792059e-1,1.46198615e-2,1.000729,2.44954323e-1,0.683864,0.493613
5,4.487990,17,70,11.1500,11.1400,11.1600,-2.74044409e-2,1.38372726e-1,1.98980147e-2,1.766314,2.44954323e-1,0.683864,0.575864
6,5.385587,17,70,11.1500,11.1400,11.1600,-1.27102836e-1,9.18070321e-2,2.45836619e-2,2.516053,2.44954323e-1,0.683864,0.640086
7,6.283185,17,70,11.1500,11.1400,11.1600,-1.66397762e-1,-1.93177598e-2,2.80613911e-2,-3.026016,2.44954323e-1,0.683864,0.683864
1,0.897598,18,70,11.1600,11.1600,11.1700,7.39795306e-2,8.83254946e-2,1.32743639e-2,0.873558,1.62253583e-1,0.783340,0.710089
2,1.795196,18,70,11.1600,11.1600,11.1700,-1.97746158e-2,1.15448455e-1,1.37193812e-2,1.740435,1.62253583e-1,0.783340,0.721893
3,2.692794,18,70,11.1600,11.1600,11.1700,-1.02419229e-1,6.22360285e-2,1.43630217e-2,2.595560,1.62253583e-1,0.783340,0.738633
4,3.590392,18,70,11.1600,11.1600,11.1700,-1.17491035e-1,-3.56530503e-2,1.50752832e-2,-2.846971,1.62253583e-1,0.783340,0.756726
5,4.487990,18,70,11.1600,11.1600,11.1700,-5.45755659e-2,-1.12812707e-1,1.57051993e-2,-2.021377,1.62253583e-1,0.783340,0.772374
6,5.385587,18,70,11.1600,11.1600,11.1700,4.47973705e-2,-1.18736657e-1,1.61051982e-2,-1.210025,1.62253583e-1,0.783340,0.782148
7,6.283185,18,70,11.1600,11.1600,11.1700,1.16494433e-1,-5.08268407e-2,1.61543207e-2,-0.411405,1.62253583e-1,0.783340,0.783340
1,0.897598,19,70,11.1700,11.1700,11.1800,-1.08445324e-1,-1.32778113e-1,2.93904157e-2,-2.255662,3.40473748e-1,0.503523,0.503523
2,1.795196,19,70,11.1700,11.1700,11.1800,3.44065215e-2,-1.60474832e-1,2.69359806e-2,-1.359589,3.40473748e-1,0.503523,0.482040
3,2.692794,19,70,11.1700,11.1700,11.1800,1.38478522e-1,-6.55639554e-2,2.34749334e-2,-0.442191,3.40473748e-1,0.503523,0.450006
4,3.590392,19,70,11.1700,11.1700,11.1800,1.22884098e-1,6.85467770e-2,1.97991621e-2,0.508825,3.40473748e-1,0.503523,0.413276
