dim,phi,l_grav,l_avt,action
16,0.316,-1.247635047669697,-0.04825690671058338,-1.2958919543802803
16,0.317,-1.249174855152379,-0.046634942308073114,-1.295809797460452
16,0.318,-1.2507054252175993,-0.045040703792785235,-1.2957461290103844
16,0.319,-1.2522267734119072,-0.043474191164719754,-1.295700964576627
16,0.32,-1.2537389151448528,-0.041935404423876686,-1.2956743195687295
16,0.321,-1.2552418656900945,-0.040424343570256,-1.2956662092603506
16,0.322,-1.2567356401864989,-0.03894100860385771,-1.2956766487903566
16,0.323,-1.2582202536392175,-0.03748539952468182,-1.2957056531638993
16,0.324,-1.259695720920757,-0.03605751633272834,-1.2957532372534855
16,0.325,-1.2611620567720294,-0.03465735902799725,-1.2958194158000267
16,0.326,-1.2626192758033907,-0.033284927610488554,-1.2959042034138792
16,0.327,-1.2640673924956667,-0.03194022208020226,-1.296007614575869
16,0.328,-1.2655064212011629,-0.030623242437138366,-1.2961296636383013
16,0.329,-1.2669363761446624,-0.029333988681296864,-1.2962703648259593
16,0.33,-1.2683572714244113,-0.028072460812677766,-1.296429732237089
16,0.331,-1.2697691210130888,-0.02683865883128106,-1.2966077798443698
16,0.332,-1.271171938758767,-0.025632582737106755,-1.2968045214958737
16,0.333,-1.2725657383858564,-0.02445423253015485,-1.2970199709160113
16,0.334,-1.27395053349604,-0.02330360821042534,-1.2972541417064654
16,0.335,-1.2753263375691937,-0.022180709777918226,-1.297507047347112
16,0.336,-1.2766931639642967,-0.02108553723263351,-1.2977787011969302
16,0.337,-1.2780510259203286,-0.0200180905745712,-1.2980691164948999
16,0.338,-1.2793999365571547,-0.018978369803731278,-1.298378306360886
16,0.339,-1.2807399088763995,-0.01796637492011376,-1.2987062837965133
16,0.34,-1.2820709557623113,-0.016982105923718637,-1.29905306168603
16,0.341,-1.283393089982611,-0.01602556281454591,-1.2994186527971567
16,0.342,-1.2847063241893348,-0.015096745592595582,-1.2998030697819305
16,0.343,-1.2860106709196613,-0.014195654257867655,-1.3002063251775289
16,0.344,-1.2873061425967312,-0.013322288810362171,-1.3006284314070933
16,0.345,-1.2885927515304556,-0.012476649250079038,-1.3010694007805346
16,0.346,-1.289870509918313,-0.0116587355770183,-1.3015292454953313
16,0.347,-1.291139429846135,-0.010868547791179961,-1.3020079776373148
16,0.348,-1.2923995232888845,-0.010106085892564022,-1.3025056091814486
16,0.349,-1.2936508021114228,-0.009371349881170478,-1.3030221519925933
16,0.35,-1.294893278069265,-0.008664339756999331,-1.3035576178262644
16,0.351,-1.2961269628093275,-0.007985055520050584,-1.3041120183293782
16,0.352,-1.2973518678706657,-0.0073334971703242335,-1.30468536504099
16,0.353,-1.298568004685201,-0.006709664707820282,-1.3052776693930213
16,0.354,-1.29977538457844,-0.006113558132538728,-1.3058889427109788
16,0.355,-1.3009740187701824,-0.005545177444479572,-1.3065191962146618
16,0.356,-1.302163918375221,-0.0050045226436428135,-1.3071684410188638
16,0.357,-1.3033450944040332,-0.004491593730028453,-1.3078366881340617
16,0.358,-1.3045175577634625,-0.004006390703636491,-1.308523948467099
16,0.359,-1.305681319257391,-0.0035489135644669267,-1.309230232821858
16,0.36,-1.3068363895874036,-0.0031191623125197596,-1.3099555518999233
16,0.361,-1.3079827793534444,-0.0027171369477949903,-1.3106999163012394
16,0.362,-1.309120499054464,-0.0023428374702926195,-1.3114633365247566
16,0.363,-1.3102495590890564,-0.001996263880012646,-1.312245822969069
16,0.364,-1.3113699697560914,-0.0016774161769550705,-1.3130473859330465
16,0.365,-1.3124817412553371,-0.001386294361119893,-1.313868035616457
16,0.366,-1.3135848836880715,-0.0011228984325071132,-1.3147077821205786
16,0.367,-1.3146794070576924,-0.0008872283911167317,-1.3155666354488091
16,0.368,-1.315765321270313,-0.0006792842369487476,-1.3164446055072618
16,0.369,-1.316842636135354,-0.0004990659700031615,-1.3173417021053573
16,0.37,-1.3179113613661255,-0.00034657359027997326,-1.3182579349564054
16,0.371,-1.318971506580403,-0.00022180709777918292,-1.3191933136781822
16,0.372,-1.3200230813009957,-0.00012476649250079037,-1.3201478477934965
